date,UID,click,url,regionCode,city,k_page,vec
2016-10-02 07:25:47 UTC,c78f43460484d92831660d66818e6417b0cb39c8b6359f03906703467d99be6f,1,https://passnavi.evidus.com/search_univ/2910/ao.html,8,hitachiota,p14,0:0:0:0:1
2016-10-02 07:26:23 UTC,c78f43460484d92831660d66818e6417b0cb39c8b6359f03906703467d99be6f,,https://passnavi.evidus.com/search_univ/2910/ao.html,8,hitachiota,p14,1:0:0:0:0
2016-10-02 07:27:12 UTC,c78f43460484d92831660d66818e6417b0cb39c8b6359f03906703467d99be6f,,https://passnavi.evidus.com/search_univ/2910/ao.html,8,hitachiota,p14,1:0:1:1:1
2016-10-02 07:27:35 UTC,c78f43460484d92831660d66818e6417b0cb39c8b6359f03906703467d99be6f,,https://passnavi.evidus.com/search_univ/2910/ao.html,8,hitachiota,p03,1:0:0:0:1
2016-10-02 07:34:40 UTC,837ad291-1b81-4929-8e47-03e3653b765a,,https://passnavi.evidus.com/search_univ/2910/ao.html,12,chiba,p18,0:0:0:1:0
2016-10-02 07:34:47 UTC,837ad291-1b81-4929-8e47-03e3653b765a,,https://passnavi.evidus.com/search_univ/2910/ao.html,12,chiba,p19,1:1:1:1:1
2016-10-03 10:14:01 UTC,050c572c-89b3-48f8-be99-221cf346161e,1,https://passnavi.evidus.com/search_univ/2910/ao.html,6,sakata,p15,1:1:0:0:0
2016-10-03 21:05:32 UTC,837ad291-1b81-4929-8e47-03e3653b765a,,https://passnavi.evidus.com/search_univ/2910/ao.html,12,chiba,p19,0:0:0:0:1
2016-10-06 13:03:46 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,1,https://passnavi.evidus.com/search_univ/2910/ao.html,27,osaka,p01,0:1:1:1:1
2016-10-06 13:03:54 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,1,https://passnavi.evidus.com/search_univ/2910/ao.html,27,osaka,p02,1:1:0:0:1
2016-10-06 13:04:33 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,1,https://passnavi.evidus.com/search_univ/2910/ao.html,27,osaka,p10,1:1:0:0:0
2016-10-06 15:25:38 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,,https://passnavi.evidus.com/search_univ/2910/ao.html,27,osaka,p01,0:1:0:0:0
2016-10-06 15:25:48 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,1,https://passnavi.evidus.com/search_univ/2910/eiken.html,27,osaka,p10,0:1:1:1:1
2016-10-06 15:31:01 UTC,aeec25b5-b4a4-45cd-8601-d2de885a00b5,1,https://passnavi.evidus.com/search_univ/2910/eiken.html,27,osaka,p18,1:1:0:0:1
2016-10-08 23:14:27 UTC,fce00d06-99c9-4157-b1ff-2ea6e0101bb8,,https://passnavi.evidus.com/search_univ/2910/eiken.html,3,morioka,p01,1:0:1:1:1
2016-10-09 00:43:09 UTC,c58566ab-3329-4260-b36a-211503f92e1d,,https://passnavi.evidus.com/search_univ/2910/eiken.html,11,saitama,p01,0:1:1:1:1
2016-10-09 00:43:23 UTC,c58566ab-3329-4260-b36a-211503f92e1d,1,https://passnavi.evidus.com/search_univ/2910/eiken.html,11,saitama,p02,0:0:0:1:0
2016-10-09 00:43:52 UTC,c58566ab-3329-4260-b36a-211503f92e1d,,https://passnavi.evidus.com/search_univ/2910/eiken.html,11,saitama,p03,0:1:1:0:0
2016-10-09 00:44:21 UTC,c58566ab-3329-4260-b36a-211503f92e1d,1,https://passnavi.evidus.com/search_univ/2910/eiken.html,11,saitama,p03,1:1:0:0:1
2016-10-09 03:23:17 UTC,c58566ab-3329-4260-b36a-211503f92e1d,,https://passnavi.evidus.com/search_univ/2910/eiken.html,11,saitama,p01,1:1:1:1:1
